代碼,意義
01,人與汽(機)車-對向通行中
02,人與汽(機)車-同向通行中
03,人與汽(機)車-穿越道路中
04,人與汽(機)車-在路上嬉戲
05,人與汽(機)車-在路上作業中
06,人與汽(機)車-衝進路中
07,人與汽(機)車-從停車後(或中)穿出
08,人與汽(機)車-佇立路邊(外)
09,人與汽(機)車-其他
10,車與車-對撞
11,車與車-對向擦撞
12,車與車-同向擦撞
13,車與車-追撞
14,車與車-倒車撞
15,車與車-路口交岔撞
16,車與車-側撞
17,車與車-其他
18,汽(機)車本身-路上翻車、摔倒
19,汽(機)車本身-衝出路外
20,汽(機)車本身-撞護欄(樁)
21,汽(機)車本身-撞號誌、標誌桿
22,汽(機)車本身-撞收費亭
23,汽(機)車本身-撞交通島
24,汽(機)車本身-撞非固定設施
25,汽(機)車本身-撞橋樑、建築物
26,汽(機)車本身-撞路樹、電桿
27,汽(機)車本身-撞動物
28,汽(機)車本身-撞工程施工
29,汽(機)車本身-其他
30,平交道事故-衝過(或撞壞)遮斷器
31,平交道事故-正越過平交道中
32,平交道事故-暫停位置不當
33,平交道事故-在平交道內無法行動
34,平交道事故-其他
